date,open,high,low,close,volume,oi
2026-04-10,16.57,16.75,16.57,16.74,8983,0
2026-04-13,16.82,16.82,16.35,16.61,20118,0
2026-04-15,16.9,16.95,16.81,16.86,19451,0
2026-04-16,16.93,16.98,16.73,16.73,22015,0
2026-04-17,16.73,16.87,16.73,16.87,6969,0
2026-04-20,17.18,17.18,16.85,16.86,7807,0
2026-04-21,17.03,17.16,17.03,17.14,4003,0
2026-04-22,17.14,17.14,16.94,17.01,7972,0
2026-04-23,16.85,16.91,16.72,16.8,57519,0
2026-04-24,16.8,16.8,16.63,16.72,25377,0
2026-04-27,16.72,16.76,16.64,16.74,2584,0
2026-04-28,16.68,16.77,16.48,16.51,3776,0
2026-04-29,16.59,16.66,16.48,16.48,23208,0
2026-04-30,16.48,16.48,16.17,16.35,22266,0
2026-05-04,16.42,16.53,16.27,16.34,2076,0
2026-05-05,16.28,16.29,16.1,16.22,19184,0
2026-05-06,16.31,16.65,16.18,16.65,12043,0
2026-05-07,16.98,16.98,16.6,16.65,23493,0
2026-05-08,16.65,16.65,16.34,16.39,10309,0
2026-05-11,16.25,16.29,16.11,16.15,2017,0
2026-05-12,16.15,16.15,15.9,15.93,12896,0
2026-05-13,15.92,16.95,15.8,16.07,43182,0
2026-05-14,16.0,16.19,15.83,16.07,3241,0
2026-05-15,16.07,16.22,16.06,16.07,2403,0
2026-05-18,16.07,16.9,15.75,16.06,3041,0
2026-05-19,16.06,16.76,15.9,15.98,3147,0
2026-05-20,15.98,16.0,15.81,15.98,2301,0
2026-05-21,15.98,15.99,15.94,15.96,10384,0
2026-05-22,16.15,16.2,16.1,16.16,1094,0
2026-05-25,16.48,16.48,16.31,16.46,18447,0
2026-05-26,16.47,16.58,16.39,16.41,6208,0
2026-05-27,16.41,16.41,16.23,16.25,33623,0
2026-05-29,16.29,16.34,16.11,16.2,3183,0
2026-06-01,16.28,16.28,15.82,15.94,16066,0
2026-06-02,15.79,16.28,15.76,15.93,2255,0
2026-06-03,15.9,15.91,15.75,15.91,2610,0
2026-06-04,15.96,16.28,15.92,16.06,9994,0
2026-06-05,16.34,16.34,15.98,16.06,1690,0
2026-06-08,16.14,16.14,15.91,15.97,35562,0
2026-06-09,16.04,16.22,16.04,16.22,35217,0
2026-06-10,16.29,16.43,16.24,16.26,20638,0
2026-06-11,16.26,16.53,16.23,16.36,1537,0
2026-06-12,16.58,16.83,16.53,16.8,5061,0
2026-06-15,16.96,17.12,16.8,16.83,39729,0
2026-06-16,16.91,17.27,16.53,16.9,15485,0
2026-06-17,16.98,17.03,16.96,17.01,29148,0
2026-06-18,17.05,17.16,17.03,17.07,11487,0
2026-06-19,17.12,17.97,16.99,17.12,11826,0
2026-06-22,17.44,17.44,17.12,17.13,15750,0
2026-06-23,17.43,17.43,16.97,16.98,17990,0
2026-06-24,16.98,17.36,16.98,17.25,21870,0
2026-06-25,17.42,17.77,17.33,17.35,63633,0
2026-06-29,17.86,17.86,17.03,17.13,15174,0
2026-06-30,17.69,17.69,17.01,17.1,26997,0
2026-07-01,17.65,19.0,16.93,17.29,66702,0
2026-07-02,17.29,17.85,17.01,17.39,11101,0
2026-07-03,17.95,17.95,17.32,17.41,17471,0
2026-07-06,17.58,17.64,17.39,17.53,36667,0
2026-07-07,17.7,17.7,17.49,17.53,7050,0
2026-07-08,17.49,20.0,17.07,17.39,166900,0
2026-07-09,17.57,17.6,17.0,17.23,137991,0
2026-07-10,16.95,17.87,16.95,17.42,40960,0
2026-07-13,17.74,17.74,17.26,17.44,15964,0
